depth,seed,scramble,scramble_length,thistlethwaite_moves,thistlethwaite_time,thistlethwaite_success,kociemba_moves,kociemba_time,kociemba_success
5,42,F L2 B' F' F,5,,,False,3,0.009011030197143555,True
5,43,D' U R2 R' R2,5,,,False,3,0.0002491474151611328,True
5,44,D R2 L' D U,5,,,False,3,0.0003666877746582031,True
5,45,B2 D U D D',5,,,False,3,0.00024700164794921875,True
5,46,D2 F2 B2 R' B2,5,,,False,3,0.0003578662872314453,True
5,47,F' F F' F2 F2,5,,,False,3,0.00019931793212890625,True
5,48,U R2 D' R' U,5,,,False,3,0.0002989768981933594,True
5,49,B' L' F2 L D2,5,,,False,3,0.00039696693420410156,True
5,50,R' U B2 L' U',5,,,False,3,0.00032711029052734375,True
5,51,D2 U B D2 R',5,,,False,3,0.0003559589385986328,True
10,42,F L2 B' F' F B' B' D F' U2,10,,,False,3,0.002105236053466797,True
10,43,D' U R2 R' R2 U2 L2 U D B2,10,,,False,3,1.134650707244873,True
10,44,D R2 L' D U D R B' D F',10,,,False,3,0.0018122196197509766,True
10,45,B2 D U D D' R U' L2 F2 L2,10,,,False,3,0.0014262199401855469,True
10,46,D2 F2 B2 R' B2 U2 F2 U U2 R,10,,,False,3,0.37039804458618164,True
10,47,F' F F' F2 F2 R' R' F' F' L',10,,,False,3,0.0005481243133544922,True
10,48,U R2 D' R' U F F U2 R' L,10,,,False,3,0.0014309883117675781,True
10,49,B' L' F2 L D2 D2 R2 D' L U,10,,,False,3,0.003307819366455078,True
10,50,R' U B2 L' U' D' F D2 F L',10,,,False,3,2.029024124145508,True
10,51,D2 U B D2 R' B D2 L2 D2 D',10,,,False,3,0.0006780624389648438,True
15,42,F L2 B' F' F B' B' D F' U2 U' B2 D2 U' U,15,,,False,3,1.2441110610961914,True
15,43,D' U R2 R' R2 U2 L2 U D B2 U' R U2 B2 U2,15,,,False,3,5.878370046615601,True
15,44,D R2 L' D U D R B' D F' D D F L' D',15,,,False,3,0.07489180564880371,True
15,45,B2 D U D D' R U' L2 F2 L2 F2 L U2 L R2,15,,,False,3,0.006224155426025391,True
15,46,D2 F2 B2 R' B2 U2 F2 U U2 R U2 U2 F2 R' U2,15,,,False,3,0.7465641498565674,True
15,47,F' F F' F2 F2 R' R' F' F' L' R2 B2 U' F2 B,15,,,False,3,0.07970595359802246,True
15,48,U R2 D' R' U F F U2 R' L F L2 R' F' F2,15,,,False,3,0.040756940841674805,True
15,49,B' L' F2 L D2 D2 R2 D' L U D F U' F D',15,,,False,3,1.9291088581085205,True
15,50,R' U B2 L' U' D' F D2 F L' D2 U2 F' R D',15,,,False,3,3.5761821269989014,True
15,51,D2 U B D2 R' B D2 L2 D2 D' D F B' B' F,15,,,False,3,0.0009312629699707031,True
20,42,F L2 B' F' F B' B' D F' U2 U' B2 D2 U' U B2 B2 R' B R,20,,,False,3,4.353737831115723,True
20,43,D' U R2 R' R2 U2 L2 U D B2 U' R U2 B2 U2 D D' D' R' L,20,,,False,3,0.009479761123657227,True
20,44,D R2 L' D U D R B' D F' D D F L' D' U' L2 F' D' U,20,,,False,3,1.1169841289520264,True
20,45,B2 D U D D' R U' L2 F2 L2 F2 L U2 L R2 F D' L2 L2 B',20,,,False,3,6.342447757720947,True
20,46,D2 F2 B2 R' B2 U2 F2 U U2 R U2 U2 F2 R' U2 B2 B2 F2 F2 L,20,,,False,3,1.1990869045257568,True
20,47,F' F F' F2 F2 R' R' F' F' L' R2 B2 U' F2 B B U' R' B U2,20,,,False,3,4.893334865570068,True
20,48,U R2 D' R' U F F U2 R' L F L2 R' F' F2 R U2 B' U2 U2,20,,,False,3,22.050538063049316,True
20,49,B' L' F2 L D2 D2 R2 D' L U D F U' F D' R R F2 D F2,20,,,False,3,0.3288228511810303,True
20,50,R' U B2 L' U' D' F D2 F L' D2 U2 F' R D' L2 D F B2 R2,20,,,False,3,1.7798621654510498,True
20,51,D2 U B D2 R' B D2 L2 D2 D' D F B' B' F U' L' F' R' F2,20,,,False,3,3.6978769302368164,True
